realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1995-12-01,14683
2019-12-06,2019-12-06,1996-01-01,14023
2019-12-06,2019-12-06,1996-02-01,14036
2019-12-06,2019-12-06,1996-03-01,14153
2019-12-06,2019-12-06,1996-04-01,14340
2019-12-06,2019-12-06,1996-05-01,14450
2019-12-06,2019-12-06,1996-06-01,14902
2019-12-06,2019-12-06,1996-07-01,14826
2019-12-06,2019-12-06,1996-08-01,14981
2019-12-06,2019-12-06,1996-09-01,14989
2019-12-06,2019-12-06,1996-10-01,15040
2019-12-06,2019-12-06,1996-11-01,15264
2019-12-06,2019-12-06,1996-12-01,14980
2019-12-06,2019-12-06,1997-01-01,15197
2019-12-06,2019-12-06,1997-02-01,15561
2019-12-06,2019-12-06,1997-03-01,15862
2019-12-06,2019-12-06,1997-04-01,15709
2019-12-06,2019-12-06,1997-05-01,15805
2019-12-06,2019-12-06,1997-06-01,15918
2019-12-06,2019-12-06,1997-07-01,15973
2019-12-06,2019-12-06,1997-08-01,16027
2019-12-06,2019-12-06,1997-09-01,16283
2019-12-06,2019-12-06,1997-10-01,16232
2019-12-06,2019-12-06,1997-11-01,16158
2019-12-06,2019-12-06,1997-12-01,16356
2019-12-06,2019-12-06,1998-01-01,16436
2019-12-06,2019-12-06,1998-02-01,16462
2019-12-06,2019-12-06,1998-03-01,16511
2019-12-06,2019-12-06,1998-04-01,16716
2019-12-06,2019-12-06,1998-05-01,16741
2019-12-06,2019-12-06,1998-06-01,16662
2019-12-06,2019-12-06,1998-07-01,16819
2019-12-06,2019-12-06,1998-08-01,16828
2019-12-06,2019-12-06,1998-09-01,16972
2019-12-06,2019-12-06,1998-10-01,17209
2019-12-06,2019-12-06,1998-11-01,17341
2019-12-06,2019-12-06,1998-12-01,17702
2019-12-06,2019-12-06,1999-01-01,17732
2019-12-06,2019-12-06,1999-02-01,17943
2019-12-06,2019-12-06,1999-03-01,17760
2019-12-06,2019-12-06,1999-04-01,17791
2019-12-06,2019-12-06,1999-05-01,17914
2019-12-06,2019-12-06,1999-06-01,17969
2019-12-06,2019-12-06,1999-07-01,18183
2019-12-06,2019-12-06,1999-08-01,18341
2019-12-06,2019-12-06,1999-09-01,18175
2019-12-06,2019-12-06,1999-10-01,18606
2019-12-06,2019-12-06,1999-11-01,18944
2019-12-06,2019-12-06,1999-12-01,19125
2019-12-06,2019-12-06,2000-01-01,19613
2019-12-06,2019-12-06,2000-02-01,19193
2019-12-06,2019-12-06,2000-03-01,20175
2019-12-06,2019-12-06,2000-04-01,18986
2019-12-06,2019-12-06,2000-05-01,18941
2019-12-06,2019-12-06,2000-06-01,18878
2019-12-06,2019-12-06,2000-07-01,18982
2019-12-06,2019-12-06,2000-08-01,18951
2019-12-06,2019-12-06,2000-09-01,18926
2019-12-06,2019-12-06,2000-10-01,18965
2019-12-06,2019-12-06,2000-11-01,18689
2019-12-06,2019-12-06,2000-12-01,19356
2019-12-06,2019-12-06,2001-01-01,19248
2019-12-06,2019-12-06,2001-02-01,19698
2019-12-06,2019-12-06,2001-03-01,19562
2019-12-06,2019-12-06,2001-04-01,20373
2019-12-06,2019-12-06,2001-05-01,20147
2019-12-06,2019-12-06,2001-06-01,19900
2019-12-06,2019-12-06,2001-07-01,19838
2019-12-06,2019-12-06,2001-08-01,19920
2019-12-06,2019-12-06,2001-09-01,19664
2019-12-06,2019-12-06,2001-10-01,20054
2019-12-06,2019-12-06,2001-11-01,19982
2019-12-06,2019-12-06,2001-12-01,20120
2019-12-06,2019-12-06,2002-01-01,20359
2019-12-06,2019-12-06,2002-02-01,20515
2019-12-06,2019-12-06,2002-03-01,20370
2019-12-06,2019-12-06,2002-04-01,21274
2019-12-06,2019-12-06,2002-05-01,20874
2019-12-06,2019-12-06,2002-06-01,20725
2019-12-06,2019-12-06,2002-07-01,20674
2019-12-06,2019-12-06,2002-08-01,20683
2019-12-06,2019-12-06,2002-09-01,20732
2019-12-06,2019-12-06,2002-10-01,20603
2019-12-06,2019-12-06,2002-11-01,20969
2019-12-06,2019-12-06,2002-12-01,20415
2019-12-06,2019-12-06,2003-01-01,21270
2019-12-06,2019-12-06,2003-02-01,20041
2019-12-06,2019-12-06,2003-03-01,21326
2019-12-06,2019-12-06,2003-04-01,21139
2019-12-06,2019-12-06,2003-05-01,21328
2019-12-06,2019-12-06,2003-06-01,22003
2019-12-06,2019-12-06,2003-07-01,22372
2019-12-06,2019-12-06,2003-08-01,22489
2019-12-06,2019-12-06,2003-09-01,22630
2019-12-06,2019-12-06,2003-10-01,22869
2019-12-06,2019-12-06,2003-11-01,22864
2019-12-06,2019-12-06,2003-12-01,22748
2019-12-06,2019-12-06,2004-01-01,22637
2019-12-06,2019-12-06,2004-02-01,22727
2019-12-06,2019-12-06,2004-03-01,24992
2019-12-06,2019-12-06,2004-04-01,24565
2019-12-06,2019-12-06,2004-05-01,24420
2019-12-06,2019-12-06,2004-06-01,24622
2019-12-06,2019-12-06,2004-07-01,24538
2019-12-06,2019-12-06,2004-08-01,24713
2019-12-06,2019-12-06,2004-09-01,25045
2019-12-06,2019-12-06,2004-10-01,24842
2019-12-06,2019-12-06,2004-11-01,24974
2019-12-06,2019-12-06,2004-12-01,25679
2019-12-06,2019-12-06,2005-01-01,26126
2019-12-06,2019-12-06,2005-02-01,25797
2019-12-06,2019-12-06,2005-03-01,26219
2019-12-06,2019-12-06,2005-04-01,26520
2019-12-06,2019-12-06,2005-05-01,26510
2019-12-06,2019-12-06,2005-06-01,26569
2019-12-06,2019-12-06,2005-07-01,26538
2019-12-06,2019-12-06,2005-08-01,26814
2019-12-06,2019-12-06,2005-09-01,27111
2019-12-06,2019-12-06,2005-10-01,27664
2019-12-06,2019-12-06,2005-11-01,27674
2019-12-06,2019-12-06,2005-12-01,27324
2019-12-06,2019-12-06,2006-01-01,29686
2019-12-06,2019-12-06,2006-02-01,29479
2019-12-06,2019-12-06,2006-03-01,29289
2019-12-06,2019-12-06,2006-04-01,28905
2019-12-06,2019-12-06,2006-05-01,27864
2019-12-06,2019-12-06,2006-06-01,27339
2019-12-06,2019-12-06,2006-07-01,27327
2019-12-06,2019-12-06,2006-08-01,27358
2019-12-06,2019-12-06,2006-09-01,26994
2019-12-06,2019-12-06,2006-10-01,27161
2019-12-06,2019-12-06,2006-11-01,26647
2019-12-06,2019-12-06,2006-12-01,27100
2019-12-06,2019-12-06,2007-01-01,27533
2019-12-06,2019-12-06,2007-02-01,27088
2019-12-06,2019-12-06,2007-03-01,27506
2019-12-06,2019-12-06,2007-04-01,26610
2019-12-06,2019-12-06,2007-05-01,27144
2019-12-06,2019-12-06,2007-06-01,26638
2019-12-06,2019-12-06,2007-07-01,26860
2019-12-06,2019-12-06,2007-08-01,26625
2019-12-06,2019-12-06,2007-09-01,26412
2019-12-06,2019-12-06,2007-10-01,26248
2019-12-06,2019-12-06,2007-11-01,26566
2019-12-06,2019-12-06,2007-12-01,25634
2019-12-06,2019-12-06,2008-01-01,25721
2019-12-06,2019-12-06,2008-02-01,25659
2019-12-06,2019-12-06,2008-03-01,25456
2019-12-06,2019-12-06,2008-04-01,25292
2019-12-06,2019-12-06,2008-05-01,25650
2019-12-06,2019-12-06,2008-06-01,25700
2019-12-06,2019-12-06,2008-07-01,25897
2019-12-06,2019-12-06,2008-08-01,25329
2019-12-06,2019-12-06,2008-09-01,25217
2019-12-06,2019-12-06,2008-10-01,24568
2019-12-06,2019-12-06,2008-11-01,23196
2019-12-06,2019-12-06,2008-12-01,22909
2019-12-06,2019-12-06,2009-01-01,22758
2019-12-06,2019-12-06,2009-02-01,22498
2019-12-06,2019-12-06,2009-03-01,22149
2019-12-06,2019-12-06,2009-04-01,22092
2019-12-06,2019-12-06,2009-05-01,22310
2019-12-06,2019-12-06,2009-06-01,22332
2019-12-06,2019-12-06,2009-07-01,21883
2019-12-06,2019-12-06,2009-08-01,21474
2019-12-06,2019-12-06,2009-09-01,21363
2019-12-06,2019-12-06,2009-10-01,20661
2019-12-06,2019-12-06,2009-11-01,20931
2019-12-06,2019-12-06,2009-12-01,20849
2019-12-06,2019-12-06,2010-01-01,20566
2019-12-06,2019-12-06,2010-02-01,20448
2019-12-06,2019-12-06,2010-03-01,21883
2019-12-06,2019-12-06,2010-04-01,23518
2019-12-06,2019-12-06,2010-05-01,21742
2019-12-06,2019-12-06,2010-06-01,21544
2019-12-06,2019-12-06,2010-07-01,21499
2019-12-06,2019-12-06,2010-08-01,21268
2019-12-06,2019-12-06,2010-09-01,21336
2019-12-06,2019-12-06,2010-10-01,22040
2019-12-06,2019-12-06,2010-11-01,21964
2019-12-06,2019-12-06,2010-12-01,22099
2019-12-06,2019-12-06,2011-01-01,21484
2019-12-06,2019-12-06,2011-02-01,21193
2019-12-06,2019-12-06,2011-03-01,21863
2019-12-06,2019-12-06,2011-04-01,22066
2019-12-06,2019-12-06,2011-05-01,22324
2019-12-06,2019-12-06,2011-06-01,22720
2019-12-06,2019-12-06,2011-07-01,22761
2019-12-06,2019-12-06,2011-08-01,22786
2019-12-06,2019-12-06,2011-09-01,22637
2019-12-06,2019-12-06,2011-10-01,23242
2019-12-06,2019-12-06,2011-11-01,22904
2019-12-06,2019-12-06,2011-12-01,23447
2019-12-06,2019-12-06,2012-01-01,23618
2019-12-06,2019-12-06,2012-02-01,23573
2019-12-06,2019-12-06,2012-03-01,24570
2019-12-06,2019-12-06,2012-04-01,23390
2019-12-06,2019-12-06,2012-05-01,22748
2019-12-06,2019-12-06,2012-06-01,22571
2019-12-06,2019-12-06,2012-07-01,22697
2019-12-06,2019-12-06,2012-08-01,23075
2019-12-06,2019-12-06,2012-09-01,23696
2019-12-06,2019-12-06,2012-10-01,23820
2019-12-06,2019-12-06,2012-11-01,24108
2019-12-06,2019-12-06,2012-12-01,24130
2019-12-06,2019-12-06,2013-01-01,24402
2019-12-06,2019-12-06,2013-02-01,24824
2019-12-06,2019-12-06,2013-03-01,24800
2019-12-06,2019-12-06,2013-04-01,24964
2019-12-06,2019-12-06,2013-05-01,25449
2019-12-06,2019-12-06,2013-06-01,24969
2019-12-06,2019-12-06,2013-07-01,25572
2019-12-06,2019-12-06,2013-08-01,25533
2019-12-06,2019-12-06,2013-09-01,25519
2019-12-06,2019-12-06,2013-10-01,25155
2019-12-06,2019-12-06,2013-11-01,25112
2019-12-06,2019-12-06,2013-12-01,25261
2019-12-06,2019-12-06,2014-01-01,25206
2019-12-06,2019-12-06,2014-02-01,25157
2019-12-06,2019-12-06,2014-03-01,25600
2019-12-06,2019-12-06,2014-04-01,26530
2019-12-06,2019-12-06,2014-05-01,26789
2019-12-06,2019-12-06,2014-06-01,26971
2019-12-06,2019-12-06,2014-07-01,26478
2019-12-06,2019-12-06,2014-08-01,27015
2019-12-06,2019-12-06,2014-09-01,26981
2019-12-06,2019-12-06,2014-10-01,26924
2019-12-06,2019-12-06,2014-11-01,27097
2019-12-06,2019-12-06,2014-12-01,26792
2019-12-06,2019-12-06,2015-01-01,27098
2019-12-06,2019-12-06,2015-02-01,26106
2019-12-06,2019-12-06,2015-03-01,27110
2019-12-06,2019-12-06,2015-04-01,27335
2019-12-06,2019-12-06,2015-05-01,27381
2019-12-06,2019-12-06,2015-06-01,27188
2019-12-06,2019-12-06,2015-07-01,27944
2019-12-06,2019-12-06,2015-08-01,28021
2019-12-06,2019-12-06,2015-09-01,27855
2019-12-06,2019-12-06,2015-10-01,28021
2019-12-06,2019-12-06,2015-11-01,28322
2019-12-06,2019-12-06,2015-12-01,28880
2019-12-06,2019-12-06,2016-01-01,29042
2019-12-06,2019-12-06,2016-02-01,29080
2019-12-06,2019-12-06,2016-03-01,29809
2019-12-06,2019-12-06,2016-04-01,28848
2019-12-06,2019-12-06,2016-05-01,28366
2019-12-06,2019-12-06,2016-06-01,29150
2019-12-06,2019-12-06,2016-07-01,28914
2019-12-06,2019-12-06,2016-08-01,28860
2019-12-06,2019-12-06,2016-09-01,29026
2019-12-06,2019-12-06,2016-10-01,29134
2019-12-06,2019-12-06,2016-11-01,29339
2019-12-06,2019-12-06,2016-12-01,29384
2019-12-06,2019-12-06,2017-01-01,30124
2019-12-06,2019-12-06,2017-02-01,30305
2019-12-06,2019-12-06,2017-03-01,30107
2019-12-06,2019-12-06,2017-04-01,30470
2019-12-06,2019-12-06,2017-05-01,30023
2019-12-06,2019-12-06,2017-06-01,29997
2019-12-06,2019-12-06,2017-07-01,30188
2019-12-06,2019-12-06,2017-08-01,30286
2019-12-06,2019-12-06,2017-09-01,31302
2019-12-06,2019-12-06,2017-10-01,30835
2019-12-06,2019-12-06,2017-11-01,31160
2019-12-06,2019-12-06,2017-12-01,31254
2019-12-06,2019-12-06,2018-01-01,30677
2019-12-06,2019-12-06,2018-02-01,31275
2019-12-06,2019-12-06,2018-03-01,30920
2019-12-06,2019-12-06,2018-04-01,30937
2019-12-06,2019-12-06,2018-05-01,31543
2019-12-06,2019-12-06,2018-06-01,31958
2019-12-06,2019-12-06,2018-07-01,31978
2019-12-06,2019-12-06,2018-08-01,31592
2019-12-06,2019-12-06,2018-09-01,31630
2019-12-06,2019-12-06,2018-10-01,32068
2019-12-06,2019-12-06,2018-11-01,31414
2019-12-06,2019-12-06,2018-12-01,31552
2019-12-06,2019-12-06,2019-01-01,33654
2019-12-06,2019-12-06,2019-02-01,31497
2019-12-06,2019-12-06,2019-03-01,31782
2019-12-06,2019-12-06,2019-04-01,31479
2019-12-06,2019-12-06,2019-05-01,30918
2019-12-06,2019-12-06,2019-06-01,31152
2019-12-06,2019-12-06,2019-07-01,31426
2019-12-06,2019-12-06,2019-08-01,32145
2019-12-06,2019-12-06,2019-09-01,31573
2019-12-06,2019-12-06,2019-10-01,31423
